id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,17889778,0,1,8607553
1,2,3,0,10,17628987,0,1,7604049
2,4,5,0,14,16388712,0,1,2519444
3,6,7,0,20,18329310,0,1,38808582
4,8,9,0,21,21681607,0,1,4963815
5,10,11,0,27,18057043,0,1,7163038
6,12,13,0,36,18935677,0,1,5740167
7,14,15,0,57,16422523,0,1,10248273
8,16,17,0,72,17150858,0,1,32951449
9,18,19,0,73,19452488,0,1,6049501
10,20,21,0,92,16784919,0,1,7158620
11,22,23,1,3,15148793,0,1,6926679
12,24,25,1,15,18844519,0,1,7962541
13,26,27,1,26,18008615,0,1,26840583
14,28,29,1,27,19724521,0,1,48508218
15,30,31,1,28,19468282,0,1,2216058
16,32,33,1,34,18549138,0,1,10038754
17,34,35,1,43,19966646,0,1,7995401
18,36,37,1,53,16296407,0,1,11544827
19,38,39,1,54,15755214,0,1,25626722
20,40,41,1,71,19018628,0,1,18987446
21,42,43,1,82,14330187,0,1,7478545
22,44,45,1,84,18290747,0,1,2082715
23,46,47,2,9,18025247,0,1,43420653
24,48,49,2,26,19493778,0,0,0
25,50,51,2,43,15987044,0,1,13302377
26,52,53,2,44,19395855,0,0,0
27,54,55,2,54,17343004,0,1,34666548
28,56,57,2,63,20867489,0,1,47993981
29,58,59,2,65,17870231,0,1,4177813
30,60,61,2,68,14521184,0,1,2774019
31,62,63,2,86,17733486,0,1,2919898
32,64,65,2,87,16137428,0,1,4019723
33,66,67,2,93,19677105,0,1,11058206
34,68,69,3,12,20655201,0,1,44287292
35,70,71,3,31,19038918,0,1,3604806
36,72,73,3,33,15373044,0,1,4476853
37,74,75,3,35,18435401,0,1,14856066
38,76,77,3,36,18609711,0,1,7659795
39,78,79,3,45,16091883,0,1,4028434
40,80,81,3,59,19111780,0,1,7977882
41,82,83,3,73,18867459,0,1,14292947
42,84,85,3,83,19079158,0,1,25982934
43,86,87,3,87,19824610,0,1,12577175
44,88,89,3,97,18841527,0,1,13670155
45,90,91,4,19,15965037,0,1,3127675
46,92,93,4,20,16315779,0,1,8192005
47,94,95,4,42,19176718,0,1,2915690
48,96,97,4,49,19302808,0,1,29941412
49,98,99,4,79,17473893,0,1,4610385
50,100,101,4,82,18332128,0,1,2408912
51,102,103,5,24,20199867,0,1,20246189
52,104,105,5,35,18704522,0,1,22201786
53,106,107,5,52,18137672,0,1,17361475
54,108,109,5,84,17863188,0,1,8861857
55,110,111,5,90,18513982,0,1,1966276
56,112,113,6,8,12727261,0,1,13682996
57,114,115,6,30,21269198,0,1,34864951
58,116,117,6,59,15348831,0,1,17129741
59,118,119,6,61,19390112,0,1,6519565
60,120,121,6,65,17653320,0,1,22500094
61,122,123,6,74,20380525,0,1,30029035
62,124,125,6,89,18127187,0,1,4612715
63,126,127,7,9,17748585,0,1,4834912
64,128,129,7,12,18532289,0,1,9577384
65,130,131,7,18,17888265,0,1,5517506
66,132,133,7,19,18845439,0,1,22022224
67,134,135,7,21,17577200,0,1,3924650
68,136,137,7,24,15012815,0,1,627704
69,138,139,7,25,15076786,0,1,2120154
70,140,141,7,36,14643031,0,1,5153184
71,142,143,7,43,17669854,0,1,4526828
72,144,145,7,60,21723756,0,1,15906282
73,146,147,7,61,15931356,0,1,13087914
74,148,149,7,66,20146994,0,1,28865052
75,150,151,7,73,19758678,0,1,18064644
76,152,153,7,75,15696947,0,1,3191698
77,154,155,7,77,18916253,0,1,1821910
78,156,157,7,78,19197355,0,1,33048944
79,158,159,8,18,13723200,0,1,24600121
80,160,161,8,21,20471775,0,1,7262474
81,162,163,8,35,16297451,0,1,5247453
82,164,165,8,67,19342106,0,1,13709236
83,166,167,8,68,19156387,0,1,26823121
84,168,169,8,75,17005364,0,1,1911425
85,170,171,8,76,21667571,0,0,0
86,172,173,8,81,15699533,0,1,4490077
87,174,175,9,18,17600233,0,1,6243149
88,176,177,9,24,15755086,0,1,8796441
89,178,179,9,69,19910302,0,1,27554423
90,180,181,9,87,19786996,0,1,25734349
91,182,183,9,91,16350045,0,1,10358329
92,184,185,9,98,19488080,0,1,11460420
93,186,187,10,29,17286661,0,1,35343915
94,188,189,10,53,21390812,0,1,26559716
95,190,191,10,88,20088717,0,1,4115125
96,192,193,11,12,17005856,0,1,3448500
97,194,195,11,22,18562643,0,1,6405869
98,196,197,11,23,17293127,0,1,4526334
99,198,199,11,26,18659121,0,1,14522497
100,200,201,11,33,19112816,0,1,5293851
101,202,203,11,39,15911035,0,1,3611747
102,204,205,11,40,16021270,0,1,36497597
103,206,207,11,45,17092654,0,1,45934760
104,208,209,11,46,20503340,0,1,17625730
105,210,211,11,73,20102971,0,1,34854649
106,212,213,11,92,14945026,0,1,2635534
107,214,215,12,27,18927294,0,1,11030043
108,216,217,12,41,17648734,0,1,14819287
109,218,219,12,43,22335223,0,0,0
110,220,221,12,45,12402004,0,1,8513816
111,222,223,12,46,17823913,0,1,29787659
112,224,225,12,71,19440592,0,1,12801479
113,226,227,12,80,20511298,0,1,10035081
114,228,229,12,89,16444844,0,1,15641338
115,230,231,12,95,15552079,0,1,2729803
116,232,233,13,28,18272740,0,1,15503007
117,234,235,13,29,16335091,0,1,25369199
118,236,237,13,39,20233361,0,1,29120357
119,238,239,13,46,17937915,0,1,2221867
120,240,241,13,77,19702447,0,1,33688827
121,242,243,14,37,17380556,0,1,18038142
122,244,245,14,39,17970839,0,1,21710097
123,246,247,14,46,17998108,0,1,5633783
124,248,249,14,58,20640155,0,1,21297439
125,250,251,14,68,19115561,0,1,28344913
126,252,253,14,89,17543178,0,1,23115591
127,254,255,15,22,19604229,0,1,4200353
128,256,257,15,27,17867460,0,1,40844310
129,258,259,15,33,18820227,0,1,8405282
130,260,261,15,35,19041107,0,1,6679522
131,262,263,15,48,16878060,0,1,19222055
132,264,265,15,56,16366516,0,1,7604682
133,266,267,15,88,14714749,0,1,5752332
134,268,269,16,18,19823155,0,1,7488527
135,270,271,16,31,18648225,0,1,12300033
136,272,273,16,32,17121855,0,1,17902485
137,274,275,16,40,19664612,0,1,7076261
138,276,277,16,44,18482799,0,1,6052830
139,278,279,16,56,17856195,0,1,30261333
140,280,281,16,64,18497370,0,1,25395799
141,282,283,16,68,18006381,0,1,11501799
142,284,285,16,81,19459058,0,1,6241291
143,286,287,16,88,18153598,0,1,6204794
144,288,289,16,90,16519998,0,1,18281609
145,290,291,16,93,14312330,0,1,30407070
146,292,293,16,95,19360108,0,1,6595642
147,294,295,16,97,20146188,0,1,14178622
148,296,297,17,30,18364601,0,1,3027068
149,298,299,17,31,19170646,0,1,38644434
150,300,301,17,39,19572412,0,1,6273235
151,302,303,17,63,19179241,0,1,13051729
152,304,305,17,77,20441561,0,1,3637800
153,306,307,17,81,20139069,0,1,12225058
154,308,309,17,87,18456492,0,1,21419239
155,310,311,18,27,18225939,0,1,35175453
156,312,313,18,40,14390235,0,1,3448075
157,314,315,18,45,16886060,0,1,2528692
158,316,317,18,56,17951615,0,1,27406441
159,318,319,18,58,14468547,0,1,19432441
160,320,321,18,74,16683159,0,1,8883741
161,322,323,18,75,19230136,0,1,13447397
162,324,325,18,76,14894807,0,1,14563648
163,326,327,18,79,18372502,0,1,5389328
164,328,329,18,80,14921953,0,1,15726429
165,330,331,18,83,18599349,0,0,0
166,332,333,18,84,19212108,0,1,1433429
167,334,335,18,98,15627726,0,1,5706440
168,336,337,19,25,20798031,0,1,9158028
169,338,339,19,31,16271803,0,1,7343649
170,340,341,19,49,18809211,0,1,10491196
171,342,343,19,66,19236430,0,1,17064783
172,344,345,19,78,18008237,0,1,22602409
173,346,347,19,88,16072498,0,1,9551572
174,348,349,20,22,18215988,0,0,0
175,350,351,20,39,17273419,0,1,12344312
176,352,353,20,49,19785122,0,1,24605243
177,354,355,20,52,15922241,0,1,18241556
178,356,357,20,53,14235611,0,1,7872224
179,358,359,20,72,18708254,0,1,10485683
180,360,361,20,79,16310276,0,1,5843432
181,362,363,20,84,14369276,0,1,10408174
182,364,365,20,92,19373643,0,1,5053721
183,366,367,20,95,17447085,0,1,14740152
184,368,369,20,96,20752065,0,1,3238847
185,370,371,21,22,15760929,0,0,0
186,372,373,21,32,17722054,0,1,20965372
187,374,375,21,33,18954512,0,1,24421155
188,376,377,21,36,18638998,0,1,13385765
189,378,379,21,47,18419621,0,1,5244177
190,380,381,21,71,19372602,0,1,4187800
191,382,383,21,79,17382179,0,1,8689155
192,384,385,21,85,15325427,0,1,8005570
193,386,387,21,92,18786675,0,1,21366954
194,388,389,22,26,17234091,0,1,16063950
195,390,391,22,29,15665189,0,1,5926249
196,392,393,22,53,17024110,0,1,5872700
197,394,395,22,64,15555171,0,1,4828878
198,396,397,22,66,17941218,0,1,19053619
199,398,399,22,72,17591324,0,1,11492142
200,400,401,22,85,17138227,0,1,7514213
201,402,403,22,92,17741695,0,1,11607613
202,404,405,23,38,16465194,0,1,14022874
203,406,407,23,43,22404443,0,1,12125935
204,408,409,23,99,17458709,0,1,1790017
205,410,411,24,31,17377966,0,1,12125409
206,412,413,24,65,15838152,0,1,27685740
207,414,415,24,73,17082088,0,1,10432154
208,416,417,24,80,18208595,0,1,27306572
209,418,419,24,82,18509328,0,1,6243283
210,420,421,25,30,17935655,0,1,6641239
211,422,423,25,32,18101204,0,1,21481067
212,424,425,25,37,18637813,0,1,5730674
213,426,427,25,40,17252006,0,1,4562696
214,428,429,25,50,16659087,0,1,2346699
215,430,431,25,61,18803220,0,1,18621312
216,432,433,25,65,16763564,0,1,13099785
217,434,435,25,66,15762501,0,1,14178821
218,436,437,25,72,17989503,0,1,14408576
219,438,439,25,84,18390591,0,1,10206551
220,440,441,25,88,14413870,0,1,7142071
221,442,443,25,93,15263435,0,1,15945548
222,444,445,26,29,17203401,0,1,6587228
223,446,447,26,56,14982500,0,1,5266745
224,448,449,26,79,15981716,0,1,13137484
225,450,451,26,81,19455011,0,1,13578564
226,452,453,26,98,18255661,0,1,5714992
227,454,455,27,28,18944848,0,1,25139648
228,456,457,27,35,18902577,0,1,26794412
229,458,459,27,46,18822204,0,1,5643816
230,460,461,27,54,19945893,0,1,9255166
231,462,463,27,78,18054517,0,1,50031554
232,464,465,27,87,15157037,0,1,37343763
233,466,467,27,98,14468165,0,1,4919317
234,468,469,28,58,19664447,0,1,13914666
235,470,471,28,68,17647187,0,1,3437869
236,472,473,28,76,19459423,0,1,2464105
237,474,475,28,79,14297215,0,1,6219545
238,476,477,28,82,21340783,0,1,25289843
239,478,479,28,85,15611165,0,1,19563179
240,480,481,28,86,17067461,0,1,7331792
241,482,483,28,87,18995525,0,1,5362706
242,484,485,29,37,17783044,0,1,5378392
243,486,487,29,54,16380207,0,1,1767188
244,488,489,29,64,19803515,0,0,0
245,490,491,29,65,17445705,0,1,27999341
246,492,493,29,70,19156452,0,1,20461548
247,494,495,29,82,19290273,0,1,4200892
248,496,497,29,83,17791892,0,1,4934674
249,498,499,29,86,14138033,0,1,28408452
250,500,501,29,87,16133346,0,1,6845119
251,502,503,29,98,17303177,0,1,7747730
252,504,505,30,31,16992235,0,1,4858668
253,506,507,30,36,18133736,0,1,5747451
254,508,509,30,38,16299354,0,1,2187880
255,510,511,30,41,16792526,0,1,15618082
256,512,513,30,44,19144683,0,1,4941086
257,514,515,30,57,21461880,0,1,37185229
258,516,517,30,58,14933771,0,1,12183535
259,518,519,30,67,16879080,0,1,10416127
260,520,521,30,73,16100587,0,1,19644143
261,522,523,30,78,18418619,0,1,20295827
262,524,525,30,84,17734654,0,1,2630856
263,526,527,30,86,17002352,0,1,9911801
264,528,529,30,89,16647822,0,1,6595964
265,530,531,30,92,18759268,0,1,9165377
266,532,533,31,35,18689595,0,1,30775909
267,534,535,31,54,17783087,0,1,8501995
268,536,537,31,57,17736242,0,1,8083428
269,538,539,31,81,16596326,0,1,6614019
270,540,541,31,82,17623305,0,1,7249068
271,542,543,31,99,15685818,0,1,17599856
272,544,545,32,33,18012028,0,1,49570924
273,546,547,32,34,17139431,0,1,23885701
274,548,549,32,39,19885350,0,1,21677332
275,550,551,32,46,15849360,0,1,5991333
276,552,553,32,53,16610983,0,1,10850445
277,554,555,32,71,17542824,0,1,6069295
278,556,557,32,94,18283696,0,1,4736381
279,558,559,33,36,17575242,0,1,10919067
280,560,561,33,42,18360509,0,1,25880755
281,562,563,33,46,16881834,0,1,10072185
282,564,565,33,47,21181747,0,1,11281129
283,566,567,33,57,17823844,0,1,15280434
284,568,569,33,67,20092590,0,1,22571721
285,570,571,33,70,18132732,0,1,16583430
286,572,573,33,92,17396188,0,1,4226396
287,574,575,33,93,19992960,0,1,5435065
288,576,577,34,38,18140298,0,1,10857292
289,578,579,34,45,15681201,0,1,9473145
290,580,581,34,46,17866186,0,1,34523833
291,582,583,34,62,18751994,0,1,10445844
292,584,585,34,78,19679900,0,1,17741485
293,586,587,34,87,17391463,0,1,6281340
294,588,589,34,94,19294202,0,1,5305249
295,590,591,35,68,13944882,0,1,4882408
296,592,593,35,76,18811522,0,1,6499230
297,594,595,35,77,18512374,0,1,15697280
298,596,597,35,79,18427291,0,1,10716943
299,598,599,35,80,17118659,0,1,25570661
300,600,601,35,82,19256342,0,1,22219973
301,602,603,36,42,15905269,0,1,7937965
302,604,605,36,43,19711311,0,1,10002591
303,606,607,36,45,15724152,0,1,19178037
304,608,609,36,46,19965407,0,1,27887996
305,610,611,36,48,20183102,0,1,13372891
306,612,613,36,65,18438676,0,1,6243348
307,614,615,36,84,15830268,0,1,3362882
308,616,617,36,97,16422087,0,1,6134910
309,618,619,37,56,15138173,0,1,35182572
310,620,621,37,57,16104527,0,1,39587364
311,622,623,37,63,19162406,0,1,25916052
312,624,625,37,81,19357934,0,1,38361684
313,626,627,37,88,17507059,0,1,15586677
314,628,629,37,98,18013849,0,1,5709264
315,630,631,38,52,18733085,0,1,13449182
316,632,633,38,78,17186203,0,1,38623537
317,634,635,38,89,15462285,0,1,3963740
318,636,637,38,95,15422650,0,1,3823438
319,638,639,38,96,17271879,0,1,4253487
320,640,641,39,47,16976385,0,1,13825792
321,642,643,39,61,15043919,0,1,17613237
322,644,645,39,70,18045547,0,1,6643744
323,646,647,39,77,18143534,0,1,31454012
324,648,649,39,83,17959463,0,1,12081830
325,650,651,39,87,16608398,0,1,15887579
326,652,653,39,89,17193875,0,1,7955330
327,654,655,39,91,18731323,0,1,15039281
328,656,657,39,93,18881499,0,1,4484140
329,658,659,39,96,15129200,0,1,9912628
330,660,661,40,45,13903831,0,1,5191882
331,662,663,40,46,18226315,0,1,7628053
332,664,665,40,51,19549147,0,0,0
333,666,667,40,56,14519373,0,1,10618729
334,668,669,40,76,14910355,0,1,10458809
335,670,671,41,45,18241303,0,1,10244101
336,672,673,41,50,18192701,0,1,11134428
337,674,675,41,52,14947644,0,1,12207824
338,676,677,41,66,16060903,0,1,13562516
339,678,679,41,74,17748993,0,1,8037956
340,680,681,41,82,16406900,0,1,5019048
341,682,683,41,97,16117607,0,1,8007968
342,684,685,42,43,18772632,0,1,15236505
343,686,687,42,51,16678341,0,1,14370161
344,688,689,42,59,15875197,0,1,10691503
345,690,691,42,73,17273344,0,1,36710850
346,692,693,42,92,18515738,0,1,33910414
347,694,695,43,52,17820289,0,1,24649823
348,696,697,43,58,18443285,0,1,13193205
349,698,699,43,64,20600978,0,1,32337045
350,700,701,43,73,16018668,0,1,9937192
351,702,703,43,83,18132158,0,1,35323266
352,704,705,43,89,19036522,0,1,12872789
353,706,707,43,99,19726097,0,1,2011032
354,708,709,44,48,17454477,0,1,20357130
355,710,711,44,70,19531857,0,1,20435880
356,712,713,44,87,15221514,0,1,6803037
357,714,715,44,89,17159495,0,1,27263361
358,716,717,44,94,13717249,0,1,9824926
359,718,719,45,51,17798869,0,1,12116560
360,720,721,45,52,17187766,0,1,14638494
361,722,723,45,56,16911711,0,1,20642772
362,724,725,45,64,17683530,0,1,5208026
363,726,727,45,77,16005695,0,1,9092405
364,728,729,46,48,16363543,0,1,6570971
365,730,731,46,51,17833136,0,1,16574210
366,732,733,46,54,18199561,0,1,21586811
367,734,735,46,66,17794201,0,1,7865303
368,736,737,46,71,18798807,0,1,26450915
369,738,739,46,73,17345745,0,1,3274212
370,740,741,46,85,19088691,0,1,10999697
371,742,743,47,56,17929613,0,1,14864163
372,744,745,47,64,15872308,0,1,25856470
373,746,747,47,80,16473338,0,1,19352584
374,748,749,47,90,17522501,0,1,12726908
375,750,751,48,50,12973865,0,1,2548254
376,752,753,48,69,18971654,0,1,18150499
377,754,755,48,70,21392406,0,1,10264034
378,756,757,48,75,19953905,0,1,2847173
379,758,759,48,79,21294144,0,1,19482261
380,760,761,48,80,18316044,0,1,11202702
381,762,763,48,82,14980794,0,1,5603652
382,764,765,49,60,17958908,0,1,43428741
383,766,767,49,61,19382139,0,1,4421410
384,768,769,49,76,16811354,0,0,0
385,770,771,49,95,20617198,0,1,27235424
386,772,773,50,73,17958673,0,1,1905906
387,774,775,50,88,16082672,0,1,2347096
388,776,777,50,91,18970068,0,1,3127099
389,778,779,51,60,17099613,0,1,16443163
390,780,781,51,65,19277883,0,1,8306058
391,782,783,51,81,18944104,0,1,5501789
392,784,785,51,87,18473451,0,1,10653497
393,786,787,51,89,18171518,0,1,9092304
394,788,789,51,95,17879709,0,1,11561801
395,790,791,52,54,16526659,0,1,5231292
396,792,793,52,63,17373183,0,1,23031709
397,794,795,52,71,17990951,0,1,5314972
398,796,797,52,78,18069710,0,1,6803460
399,798,799,52,88,15713239,0,1,6215335
400,800,801,52,92,16715098,0,1,5053424
401,802,803,53,57,20233393,0,1,11833204
402,804,805,53,98,19735683,0,1,4007049
403,806,807,54,57,18339686,0,1,12640634
404,808,809,54,58,19314699,0,1,9361311
405,810,811,54,59,16472727,0,1,4418394
406,812,813,54,60,20676069,0,1,5214225
407,814,815,54,61,17389482,0,1,35579047
408,816,817,54,64,19273032,0,1,34157022
409,818,819,54,78,22590315,0,1,35631821
410,820,821,54,84,17578379,0,1,11655458
411,822,823,54,95,18693987,0,1,6387148
412,824,825,54,99,22461060,0,1,15355924
413,826,827,55,78,19127173,0,1,15129279
414,828,829,55,93,20247920,0,1,6973408
415,830,831,55,97,17867388,0,1,3460047
416,832,833,56,70,14810329,0,1,7864230
417,834,835,56,73,21220826,0,1,23953239
418,836,837,56,74,19894819,0,1,29049353
419,838,839,57,82,16226044,0,1,8501896
420,840,841,57,89,13623788,0,1,20360959
421,842,843,58,59,22183595,0,0,0
422,844,845,58,63,18410741,0,1,23239543
423,846,847,58,83,20248744,0,1,17137393
424,848,849,58,89,17654942,0,1,1914351
425,850,851,58,98,18229447,0,1,22389186
426,852,853,59,66,18319765,0,1,27579932
427,854,855,59,68,17382826,0,1,15998197
428,856,857,59,71,19195059,0,1,5911929
429,858,859,59,79,14906735,0,1,4697827
430,860,861,59,91,19031009,0,1,23633673
431,862,863,60,65,17959284,0,1,10522548
432,864,865,61,69,19398755,0,1,15748560
433,866,867,61,73,20116044,0,1,24653592
434,868,869,61,89,16349412,0,1,49248250
435,870,871,61,94,19543996,0,1,10790839
436,872,873,61,95,16686303,0,1,43460203
437,874,875,61,96,16990917,0,1,26489383
438,876,877,62,84,15694516,0,1,2541756
439,878,879,62,88,17554136,0,1,16308207
440,880,881,63,72,17610866,0,1,9695537
441,882,883,63,75,18905560,0,1,14186221
442,884,885,63,82,15688911,0,1,10525064
443,886,887,63,87,19880376,0,1,12362210
444,888,889,63,95,19436979,0,1,30323420
445,890,891,64,94,17734513,0,1,10548309
446,892,893,64,98,16242634,0,1,1579515
447,894,895,65,66,17509556,0,1,9953725
448,896,897,65,69,16214148,0,1,5047567
449,898,899,65,74,17481804,0,1,28629439
450,900,901,65,89,17350943,0,1,18773325
451,902,903,65,96,18052593,0,1,9847065
452,904,905,66,88,20471335,0,0,0
453,906,907,66,95,17725807,0,1,24177746
454,908,909,66,96,18028865,0,1,9557548
455,910,911,67,68,16126490,0,1,34212773
456,912,913,67,69,21375396,0,1,22759885
457,914,915,67,75,18195624,0,1,12658622
458,916,917,67,81,18861416,0,1,6154437
459,918,919,67,87,19964177,0,1,3849974
460,920,921,67,91,19184677,0,1,9565575
461,922,923,68,75,14077852,0,1,31024029
462,924,925,68,85,16976774,0,1,4698603
463,926,927,68,89,14364335,0,1,12683255
464,928,929,68,97,18084261,0,1,14688588
465,930,931,69,71,16290526,0,1,7893048
466,932,933,69,93,18958136,0,1,9031551
467,934,935,69,94,17393020,0,1,22277294
468,936,937,69,98,17943614,0,1,10419047
469,938,939,69,99,18870562,0,1,12040486
470,940,941,70,89,13955799,0,1,17295544
471,942,943,70,90,16603940,0,1,10291398
472,944,945,71,79,16451798,0,1,4209487
473,946,947,71,80,18228576,0,1,21758723
474,948,949,72,82,19325389,0,1,35285099
475,950,951,73,74,17556725,0,1,14690786
476,952,953,73,82,17578821,0,1,8451597
477,954,955,74,80,18898306,0,1,20663220
478,956,957,74,81,15691716,0,1,6970310
479,958,959,74,83,17090313,0,1,4239783
480,960,961,74,99,19320246,0,1,2248014
481,962,963,75,92,14493353,0,1,1842092
482,964,965,75,97,21205392,0,1,47467719
483,966,967,76,92,15460948,0,1,7485176
484,968,969,76,96,18798150,0,1,4592610
485,970,971,77,81,19201044,0,1,29607161
