id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,18275890,0,1,5851584
1,2,3,0,10,18333023,0,1,12698952
2,4,5,0,14,17721652,0,1,10356523
3,6,7,0,20,16086899,0,1,7004370
4,8,9,0,21,17406539,0,1,6489126
5,10,11,0,27,19720880,0,1,14127279
6,12,13,0,36,17517595,0,1,5541374
7,14,15,0,57,18009414,0,1,4271223
8,16,17,0,72,18820583,0,1,21519109
9,18,19,0,73,20599408,0,1,25312383
10,20,21,0,92,18476679,0,1,23815699
11,22,23,1,3,16196422,0,1,5765018
12,24,25,1,15,14651827,0,1,17277047
13,26,27,1,26,16520131,0,1,5842059
14,28,29,1,27,16777237,0,1,8171113
15,30,31,1,28,15792970,0,1,10157719
16,32,33,1,34,19331272,0,1,9665414
17,34,35,1,43,19358978,0,1,7933323
18,36,37,1,53,19652001,0,1,4080172
19,38,39,1,54,20309658,0,1,41978571
20,40,41,1,71,19674074,0,1,4098434
21,42,43,1,82,20099210,0,0,0
22,44,45,1,84,17452722,0,1,10526969
23,46,47,2,9,21308261,0,1,19298302
24,48,49,2,26,18460351,0,1,11411629
25,50,51,2,43,18082393,0,1,4662523
26,52,53,2,44,15907967,0,1,6227321
27,54,55,2,54,16516748,0,1,35664900
28,56,57,2,63,16878502,0,1,18631679
29,58,59,2,65,18929675,0,1,3866722
30,60,61,2,68,17657980,0,1,10953813
31,62,63,2,86,20394149,0,1,23202321
32,64,65,2,87,18319160,0,1,4322737
33,66,67,2,93,18705950,0,1,19345449
34,68,69,3,12,17926114,0,1,3397954
35,70,71,3,31,18418046,0,0,0
36,72,73,3,33,15569465,0,1,2443827
37,74,75,3,35,16880125,0,1,16720368
38,76,77,3,36,16190273,0,1,6118383
39,78,79,3,45,15105402,0,1,8630595
40,80,81,3,59,18750336,0,1,9956729
41,82,83,3,73,18775328,0,1,8445875
42,84,85,3,83,14482897,0,1,2207886
43,86,87,3,87,13762997,0,1,11465384
44,88,89,3,97,18987819,0,1,12979214
45,90,91,4,19,15344844,0,1,8434581
46,92,93,4,20,19886435,0,1,3135133
47,94,95,4,42,15927830,0,1,5435394
48,96,97,4,49,17342076,0,1,6658180
49,98,99,4,79,16159795,0,1,3450939
50,100,101,4,82,20099884,0,1,11835951
51,102,103,5,24,19767428,0,1,9899263
52,104,105,5,35,15837082,0,1,3626092
53,106,107,5,52,15480991,0,1,1517872
54,108,109,5,84,20062648,0,1,12203589
55,110,111,5,90,17278535,0,1,7359525
56,112,113,6,8,17143771,0,1,28753657
