id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,18275890,0,1,3792284
1,2,3,0,10,18333023,0,1,2376340
2,4,5,0,14,17721652,0,1,19847617
3,6,7,0,20,16086899,0,1,7692359
4,8,9,0,21,17406539,0,1,13477671
5,10,11,0,27,19720880,0,1,35534766
6,12,13,0,36,17517595,0,1,2521706
7,14,15,0,57,18009414,0,1,22693378
8,16,17,0,72,18820583,0,1,12925382
9,18,19,0,73,20599408,0,1,6442606
10,20,21,0,92,18476679,0,1,12901666
11,22,23,1,3,16196422,0,1,11780833
12,24,25,1,15,14651827,0,1,3357039
13,26,27,1,26,16520131,0,1,41936843
14,28,29,1,27,16777237,0,1,5846778
15,30,31,1,28,15792970,0,1,10908715
16,32,33,1,34,19331272,0,1,4617707
17,34,35,1,43,19358978,0,1,16171144
18,36,37,1,53,19652001,0,1,18150841
19,38,39,1,54,20309658,0,1,17278366
20,40,41,1,71,19674074,0,1,14522427
21,42,43,1,82,20099210,0,1,11482185
22,44,45,1,84,17452722,0,1,17353415
23,46,47,2,9,21308261,0,1,24324036
24,48,49,2,26,18460351,0,1,18777989
25,50,51,2,43,18082393,0,1,5381943
26,52,53,2,44,15907967,0,1,4420071
27,54,55,2,54,16516748,0,1,23970102
28,56,57,2,63,16878502,0,1,21038149
29,58,59,2,65,18929675,0,1,4879735
30,60,61,2,68,17657980,0,1,11246696
31,62,63,2,86,20394149,0,1,29740228
32,64,65,2,87,18319160,0,1,9106677
33,66,67,2,93,18705950,0,1,14099115
34,68,69,3,12,17926114,0,1,21932164
35,70,71,3,31,18418046,0,1,38788714
36,72,73,3,33,15569465,0,1,17956894
37,74,75,3,35,16880125,0,1,5094543
38,76,77,3,36,16190273,0,1,7056393
39,78,79,3,45,15105402,0,1,18251708
40,80,81,3,59,18750336,0,1,5212784
41,82,83,3,73,18775328,0,1,26514372
42,84,85,3,83,14482897,0,1,18100176
43,86,87,3,87,13762997,0,1,1650951
44,88,89,3,97,18987819,0,1,8601064
45,90,91,4,19,15344844,0,1,4394429
46,92,93,4,20,19886435,0,1,6754395
47,94,95,4,42,15927830,0,1,4032421
48,96,97,4,49,17342076,0,1,21361490
49,98,99,4,79,16159795,0,1,4901681
50,100,101,4,82,20099884,0,1,4904809
51,102,103,5,24,19767428,0,1,3305897
52,104,105,5,35,15837082,0,1,4819261
53,106,107,5,52,15480991,0,1,17449684
54,108,109,5,84,20062648,0,1,14224555
55,110,111,5,90,17278535,0,1,5263230
56,112,113,6,8,17143771,0,1,21474357
57,114,115,6,30,16648231,0,0,0
58,116,117,6,59,19193604,0,1,23573595
59,118,119,6,61,19731057,0,1,15518527
60,120,121,6,65,19965673,0,1,13143170
61,122,123,6,74,16774053,0,1,14672656
62,124,125,6,89,17330825,0,1,7212587
63,126,127,7,9,19695729,0,1,4454512
64,128,129,7,12,16804702,0,1,13121652
65,130,131,7,18,18365350,0,1,5724609
66,132,133,7,19,18965583,0,1,33161291
67,134,135,7,21,18917711,0,1,8467568
68,136,137,7,24,16912833,0,1,2722297
69,138,139,7,25,16666933,0,1,2428301
70,140,141,7,36,20590577,0,1,23100642
71,142,143,7,43,16996592,0,1,3253801
72,144,145,7,60,18901726,0,1,13671001
73,146,147,7,61,15865969,0,1,7318430
74,148,149,7,66,17722060,0,1,13792654
75,150,151,7,73,16662861,0,1,20688465
76,152,153,7,75,19533619,0,1,11114128
77,154,155,7,77,18516150,0,1,1442285
78,156,157,7,78,16534430,0,1,1824297
79,158,159,8,18,17574348,0,1,16143338
80,160,161,8,21,18461763,0,1,4672642
81,162,163,8,35,19891027,0,1,1886014
82,164,165,8,67,16979543,0,1,5289159
83,166,167,8,68,20435842,0,1,28490309
84,168,169,8,75,18966686,0,1,23176852
85,170,171,8,76,19586468,0,1,24914330
86,172,173,8,81,15442034,0,1,1531920
87,174,175,9,18,15746019,0,1,4515067
88,176,177,9,24,21352389,0,1,9466565
89,178,179,9,69,17706125,0,1,11427598
90,180,181,9,87,17715247,0,1,3744320
91,182,183,9,91,17671068,0,1,1712928
92,184,185,9,98,16741099,0,1,3820472
93,186,187,10,29,14278553,0,1,3246311
94,188,189,10,53,17764674,0,1,31778799
95,190,191,10,88,16673006,0,1,42038836
96,192,193,11,12,17641758,0,1,7443591
97,194,195,11,22,14534043,0,1,10683824
98,196,197,11,23,19729155,0,1,2264880
99,198,199,11,26,15155924,0,1,8532183
100,200,201,11,33,17664638,0,1,3090753
101,202,203,11,39,18686027,0,1,39962211
102,204,205,11,40,18348906,0,1,5201580
103,206,207,11,45,20175128,0,1,16444339
104,208,209,11,46,16386043,0,1,16938828
105,210,211,11,73,17437848,0,1,9321820
106,212,213,11,92,18991127,0,1,1644329
107,214,215,12,27,17495538,0,1,5144813
108,216,217,12,41,15437210,0,1,2913289
109,218,219,12,43,16897890,0,1,8153603
110,220,221,12,45,20701404,0,1,34535084
111,222,223,12,46,15219111,0,1,15195255
112,224,225,12,71,18096738,0,1,6464559
113,226,227,12,80,18101879,0,1,4380508
114,228,229,12,89,17232776,0,1,10096816
115,230,231,12,95,17953271,0,1,17331171
116,232,233,13,28,18013696,0,1,5533219
117,234,235,13,29,17937328,0,1,5622359
118,236,237,13,39,18909126,0,1,35552663
119,238,239,13,46,18076319,0,1,3634932
120,240,241,13,77,18357098,0,1,2201179
121,242,243,14,37,19746760,0,1,6218758
122,244,245,14,39,18639284,0,1,8133645
123,246,247,14,46,15793725,0,1,7494106
124,248,249,14,58,16379529,0,1,29496550
125,250,251,14,68,18606815,0,1,22028858
126,252,253,14,89,20587525,0,0,0
127,254,255,15,22,19393994,0,0,0
128,256,257,15,27,15674699,0,1,19119920
129,258,259,15,33,18928642,0,1,12419175
130,260,261,15,35,19202083,0,1,10218820
131,262,263,15,48,17655632,0,1,4013249
