id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,18275890,0,1,10125233
1,2,3,0,10,18333023,0,1,24932455
2,4,5,0,14,17721652,0,1,17657096
3,6,7,0,20,16086899,0,1,3607239
4,8,9,0,21,17406539,0,1,2688551
5,10,11,0,27,19720880,0,1,17114904
6,12,13,0,36,17517595,0,1,4531833
7,14,15,0,57,18009414,0,1,6735669
8,16,17,0,72,18820583,0,1,14630494
9,18,19,0,73,20599408,0,1,3000002
10,20,21,0,92,18476679,0,1,3155530
11,22,23,1,3,16196422,0,1,7232198
12,24,25,1,15,14651827,0,1,3189907
13,26,27,1,26,16520131,0,1,29047303
14,28,29,1,27,16777237,0,1,6070147
15,30,31,1,28,15792970,0,1,8160209
16,32,33,1,34,19331272,0,1,26081626
17,34,35,1,43,19358978,0,1,3413196
18,36,37,1,53,19652001,0,1,10917437
19,38,39,1,54,20309658,0,1,3537580
20,40,41,1,71,19674074,0,1,43278773
21,42,43,1,82,20099210,0,1,10181553
22,44,45,1,84,17452722,0,1,2855767
23,46,47,2,9,21308261,0,1,34675043
24,48,49,2,26,18460351,0,1,28891774
25,50,51,2,43,18082393,0,1,17453933
26,52,53,2,44,15907967,0,1,4185349
27,54,55,2,54,16516748,0,1,16450263
28,56,57,2,63,16878502,0,1,9506678
29,58,59,2,65,18929675,0,1,6223349
30,60,61,2,68,17657980,0,1,4800022
31,62,63,2,86,20394149,0,1,17314065
32,64,65,2,87,18319160,0,1,5301016
33,66,67,2,93,18705950,0,1,10742354
34,68,69,3,12,17926114,0,1,11044518
35,70,71,3,31,18418046,0,1,30665128
36,72,73,3,33,15569465,0,1,2354369
37,74,75,3,35,16880125,0,1,21191196
38,76,77,3,36,16190273,0,1,1267034
39,78,79,3,45,15105402,0,1,7409619
40,80,81,3,59,18750336,0,1,29291532
41,82,83,3,73,18775328,0,1,5218114
42,84,85,3,83,14482897,0,1,13182595
43,86,87,3,87,13762997,0,1,3984099
44,88,89,3,97,18987819,0,1,5069071
45,90,91,4,19,15344844,0,1,7120012
46,92,93,4,20,19886435,0,1,14217014
47,94,95,4,42,15927830,0,1,3271784
48,96,97,4,49,17342076,0,1,9234184
49,98,99,4,79,16159795,0,1,2214759
50,100,101,4,82,20099884,0,1,44280531
51,102,103,5,24,19767428,0,1,4379039
52,104,105,5,35,15837082,0,1,2411836
53,106,107,5,52,15480991,0,1,8548642
54,108,109,5,84,20062648,0,1,1753329
55,110,111,5,90,17278535,0,1,13239854
56,112,113,6,8,17143771,0,1,3793382
57,114,115,6,30,16648231,0,1,16122312
58,116,117,6,59,19193604,0,1,2798036
59,118,119,6,61,19731057,0,1,33313407
60,120,121,6,65,19965673,0,1,11353323
61,122,123,6,74,16774053,0,1,13451274
62,124,125,6,89,17330825,0,1,709045
63,126,127,7,9,19695729,0,1,6431207
64,128,129,7,12,16804702,0,1,25996731
65,130,131,7,18,18365350,0,1,1650235
66,132,133,7,19,18965583,0,1,51690385
67,134,135,7,21,18917711,0,1,3424445
68,136,137,7,24,16912833,0,1,4759305
69,138,139,7,25,16666933,0,1,20982935
70,140,141,7,36,20590577,0,1,5906032
71,142,143,7,43,16996592,0,1,3383742
72,144,145,7,60,18901726,0,1,7828545
73,146,147,7,61,15865969,0,1,3367101
74,148,149,7,66,17722060,0,1,17598022
75,150,151,7,73,16662861,0,1,8919707
76,152,153,7,75,19533619,0,1,6965949
77,154,155,7,77,18516150,0,1,8656649
78,156,157,7,78,16534430,0,1,28648997
79,158,159,8,18,17574348,0,1,2440315
80,160,161,8,21,18461763,0,1,15616367
81,162,163,8,35,19891027,0,1,14768735
82,164,165,8,67,16979543,0,1,13610111
83,166,167,8,68,20435842,0,1,18619443
84,168,169,8,75,18966686,0,1,9965484
85,170,171,8,76,19586468,0,1,11257967
86,172,173,8,81,15442034,0,1,6219692
87,174,175,9,18,15746019,0,1,28144222
88,176,177,9,24,21352389,0,1,15270661
89,178,179,9,69,17706125,0,1,10758074
90,180,181,9,87,17715247,0,1,2745934
91,182,183,9,91,17671068,0,1,32599600
92,184,185,9,98,16741099,0,1,4517997
93,186,187,10,29,14278553,0,1,3626256
94,188,189,10,53,17764674,0,1,11096649
95,190,191,10,88,16673006,0,1,14040397
96,192,193,11,12,17641758,0,1,3006892
97,194,195,11,22,14534043,0,1,2381877
98,196,197,11,23,19729155,0,1,5358510
99,198,199,11,26,15155924,0,1,4707762
100,200,201,11,33,17664638,0,1,13164681
101,202,203,11,39,18686027,0,1,4740686
102,204,205,11,40,18348906,0,1,13592562
103,206,207,11,45,20175128,0,1,46050884
104,208,209,11,46,16386043,0,1,33674299
105,210,211,11,73,17437848,0,1,5924145
106,212,213,11,92,18991127,0,1,3409403
107,214,215,12,27,17495538,0,1,15171075
108,216,217,12,41,15437210,0,1,4971726
109,218,219,12,43,16897890,0,1,33535619
110,220,221,12,45,20701404,0,1,24600501
111,222,223,12,46,15219111,0,1,18576899
112,224,225,12,71,18096738,0,1,39437691
113,226,227,12,80,18101879,0,1,15606921
114,228,229,12,89,17232776,0,1,4724185
115,230,231,12,95,17953271,0,1,3859022
116,232,233,13,28,18013696,0,1,6139435
117,234,235,13,29,17937328,0,1,4906061
118,236,237,13,39,18909126,0,1,11022841
119,238,239,13,46,18076319,0,1,4616825
120,240,241,13,77,18357098,0,1,41158013
121,242,243,14,37,19746760,0,1,10467919
122,244,245,14,39,18639284,0,1,24305294
123,246,247,14,46,15793725,0,1,11122722
124,248,249,14,58,16379529,0,1,11577654
125,250,251,14,68,18606815,0,1,31145516
126,252,253,14,89,20587525,0,1,11636865
127,254,255,15,22,19393994,0,1,20746504
128,256,257,15,27,15674699,0,1,33488585
129,258,259,15,33,18928642,0,1,7282286
130,260,261,15,35,19202083,0,1,7280672
131,262,263,15,48,17655632,0,1,16895822
132,264,265,15,56,20578906,0,1,10728739
133,266,267,15,88,14467794,0,1,6454716
134,268,269,16,18,22225466,0,1,23249307
135,270,271,16,31,17077396,0,1,15586071
136,272,273,16,32,17179543,0,1,21834144
137,274,275,16,40,16364078,0,1,19682109
138,276,277,16,44,16134177,0,1,12597934
139,278,279,16,56,19526111,0,1,23467213
140,280,281,16,64,16370648,0,1,12279150
141,282,283,16,68,20599392,0,1,6578345
142,284,285,16,81,14031463,0,1,16442041
143,286,287,16,88,18394475,0,1,2654068
144,288,289,16,90,17773394,0,1,8161266
145,290,291,16,93,18180389,0,1,12270765
146,292,293,16,95,17373731,0,1,30576388
147,294,295,16,97,17276370,0,1,40920732
148,296,297,17,30,17956587,0,1,7952760
