id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,18275890,0,1,6137718
1,2,3,0,10,18333023,0,1,8078231
2,4,5,0,14,17721652,0,1,6132748
3,6,7,0,20,16086899,0,1,6987098
4,8,9,0,21,17406539,0,1,7198955
5,10,11,0,27,19720880,0,1,8607512
6,12,13,0,36,17517595,0,1,17009039
7,14,15,0,57,18009414,0,1,27686204
8,16,17,0,72,18820583,0,1,12638482
9,18,19,0,73,20599408,0,1,5453017
10,20,21,0,92,18476679,0,1,6136825
11,22,23,1,3,16196422,0,1,4784224
12,24,25,1,15,14651827,0,1,3479198
13,26,27,1,26,16520131,0,1,28957174
14,28,29,1,27,16777237,0,1,12442435
15,30,31,1,28,15792970,0,1,2260903
16,32,33,1,34,19331272,0,1,6646525
17,34,35,1,43,19358978,0,1,29113810
18,36,37,1,53,19652001,0,1,18323445
19,38,39,1,54,20309658,0,1,12555448
20,40,41,1,71,19674074,0,1,11878906
21,42,43,1,82,20099210,0,1,4865283
22,44,45,1,84,17452722,0,1,2963950
23,46,47,2,9,21308261,0,1,51316584
24,48,49,2,26,18460351,0,1,5061431
25,50,51,2,43,18082393,0,1,3130114
26,52,53,2,44,15907967,0,1,2598223
27,54,55,2,54,16516748,0,1,22678461
28,56,57,2,63,16878502,0,1,79793103
29,58,59,2,65,18929675,0,1,6290079
30,60,61,2,68,17657980,0,1,2714862
31,62,63,2,86,20394149,0,1,18391349
32,64,65,2,87,18319160,0,1,5733036
33,66,67,2,93,18705950,0,1,14464125
34,68,69,3,12,17926114,0,1,14186487
35,70,71,3,31,18418046,0,1,12247865
36,72,73,3,33,15569465,0,1,2902888
37,74,75,3,35,16880125,0,1,12746771
38,76,77,3,36,16190273,0,1,6130190
39,78,79,3,45,15105402,0,1,3676885
40,80,81,3,59,18750336,0,1,17593320
41,82,83,3,73,18775328,0,1,10873122
42,84,85,3,83,14482897,0,1,10713557
43,86,87,3,87,13762997,0,1,19414278
44,88,89,3,97,18987819,0,1,24718024
45,90,91,4,19,15344844,0,1,4716858
46,92,93,4,20,19886435,0,1,12325440
47,94,95,4,42,15927830,0,1,2416967
48,96,97,4,49,17342076,0,1,38491795
49,98,99,4,79,16159795,0,1,4334819
50,100,101,4,82,20099884,0,1,6067063
51,102,103,5,24,19767428,0,1,7210780
52,104,105,5,35,15837082,0,1,2358950
53,106,107,5,52,15480991,0,1,1606866
54,108,109,5,84,20062648,0,1,11168784
55,110,111,5,90,17278535,0,1,5572455
56,112,113,6,8,17143771,0,1,11476770
57,114,115,6,30,16648231,0,1,6136551
58,116,117,6,59,19193604,0,1,2575833
59,118,119,6,61,19731057,0,1,25137737
60,120,121,6,65,19965673,0,1,41566604
61,122,123,6,74,16774053,0,1,8112495
62,124,125,6,89,17330825,0,1,10874391
63,126,127,7,9,19695729,0,1,2539688
64,128,129,7,12,16804702,0,1,23573152
65,130,131,7,18,18365350,0,1,6987764
66,132,133,7,19,18965583,0,1,15271787
67,134,135,7,21,18917711,0,1,10072549
68,136,137,7,24,16912833,0,1,4261457
69,138,139,7,25,16666933,0,1,4830785
70,140,141,7,36,20590577,0,1,7519250
71,142,143,7,43,16996592,0,1,1550043
72,144,145,7,60,18901726,0,1,5914500
73,146,147,7,61,15865969,0,1,5054068
74,148,149,7,66,17722060,0,1,22981613
75,150,151,7,73,16662861,0,1,6538826
76,152,153,7,75,19533619,0,1,4844614
77,154,155,7,77,18516150,0,1,7454600
78,156,157,7,78,16534430,0,1,9055378
79,158,159,8,18,17574348,0,1,16981700
80,160,161,8,21,18461763,0,1,2276712
81,162,163,8,35,19891027,0,1,13512160
82,164,165,8,67,16979543,0,1,65347028
83,166,167,8,68,20435842,0,1,19703237
84,168,169,8,75,18966686,0,1,50782601
85,170,171,8,76,19586468,0,1,10614394
86,172,173,8,81,15442034,0,1,4935799
87,174,175,9,18,15746019,0,1,8900452
88,176,177,9,24,21352389,0,1,3176382
89,178,179,9,69,17706125,0,1,18515022
90,180,181,9,87,17715247,0,1,1990295
91,182,183,9,91,17671068,0,1,4516507
92,184,185,9,98,16741099,0,1,7840414
93,186,187,10,29,14278553,0,1,1866544
94,188,189,10,53,17764674,0,1,2702553
95,190,191,10,88,16673006,0,1,4156260
96,192,193,11,12,17641758,0,1,3601712
97,194,195,11,22,14534043,0,1,2261896
98,196,197,11,23,19729155,0,1,9785303
99,198,199,11,26,15155924,0,1,3001924
100,200,201,11,33,17664638,0,1,3039354
101,202,203,11,39,18686027,0,1,10391158
102,204,205,11,40,18348906,0,1,12171768
103,206,207,11,45,20175128,0,1,29909273
104,208,209,11,46,16386043,0,1,12654665
105,210,211,11,73,17437848,0,1,6190509
106,212,213,11,92,18991127,0,1,11749222
107,214,215,12,27,17495538,0,1,11908126
108,216,217,12,41,15437210,0,1,7293336
109,218,219,12,43,16897890,0,1,23320934
110,220,221,12,45,20701404,0,1,38330851
111,222,223,12,46,15219111,0,1,35233510
112,224,225,12,71,18096738,0,1,7256513
113,226,227,12,80,18101879,0,1,3841632
114,228,229,12,89,17232776,0,1,11592901
115,230,231,12,95,17953271,0,1,7737394
116,232,233,13,28,18013696,0,1,7218365
117,234,235,13,29,17937328,0,1,6257839
118,236,237,13,39,18909126,0,1,14070596
119,238,239,13,46,18076319,0,1,6723922
120,240,241,13,77,18357098,0,1,15940200
121,242,243,14,37,19746760,0,1,4335655
122,244,245,14,39,18639284,0,1,17551464
123,246,247,14,46,15793725,0,1,8752978
124,248,249,14,58,16379529,0,1,3904326
125,250,251,14,68,18606815,0,1,14859235
126,252,253,14,89,20587525,0,1,22264985
127,254,255,15,22,19393994,0,1,32482493
128,256,257,15,27,15674699,0,1,14999132
129,258,259,15,33,18928642,0,1,7540799
130,260,261,15,35,19202083,0,1,6251342
131,262,263,15,48,17655632,0,1,4360360
132,264,265,15,56,20578906,0,1,22164581
133,266,267,15,88,14467794,0,1,10886886
134,268,269,16,18,22225466,0,1,18559555
135,270,271,16,31,17077396,0,1,7869604
136,272,273,16,32,17179543,0,1,27159382
137,274,275,16,40,16364078,0,1,59850719
138,276,277,16,44,16134177,0,1,18195485
139,278,279,16,56,19526111,0,1,4483703
140,280,281,16,64,16370648,0,1,7154001
141,282,283,16,68,20599392,0,1,3117373
142,284,285,16,81,14031463,0,1,12766724
143,286,287,16,88,18394475,0,1,7974731
144,288,289,16,90,17773394,0,1,7354097
145,290,291,16,93,18180389,0,1,10427612
146,292,293,16,95,17373731,0,1,24089641
147,294,295,16,97,17276370,0,1,4053160
148,296,297,17,30,17956587,0,1,15564808
149,298,299,17,31,19622830,0,1,36755919
150,300,301,17,39,17776917,0,1,4363634
151,302,303,17,63,14707703,0,1,11772422
152,304,305,17,77,16320383,0,1,32359601
153,306,307,17,81,18679668,0,1,4215926
154,308,309,17,87,20334572,0,1,14756276
155,310,311,18,27,17334913,0,1,24568762
156,312,313,18,40,23031220,0,1,56325700
157,314,315,18,45,17915098,0,1,16738767
158,316,317,18,56,20200522,0,1,14369706
159,318,319,18,58,17836831,0,1,12415966
160,320,321,18,74,18360648,0,1,18274970
161,322,323,18,75,18097283,0,1,18858356
162,324,325,18,76,17937630,0,1,5215750
163,326,327,18,79,16753147,0,1,4944849
164,328,329,18,80,18286798,0,1,13434327
165,330,331,18,83,19247267,0,1,7411643
166,332,333,18,84,17069537,0,1,4697923
167,334,335,18,98,18672242,0,1,9655651
168,336,337,19,25,19001435,0,1,9496080
169,338,339,19,31,17855634,0,1,26937513
170,340,341,19,49,18235871,0,1,6285065
171,342,343,19,66,18267610,0,1,17997804
172,344,345,19,78,19057474,0,1,5277079
173,346,347,19,88,21237560,0,1,19482010
174,348,349,20,22,18236793,0,1,31992016
175,350,351,20,39,18243963,0,1,2078917
176,352,353,20,49,16027018,0,1,4847343
177,354,355,20,52,17309163,0,1,8146195
178,356,357,20,53,18684853,0,1,7951127
179,358,359,20,72,20061802,0,1,37605191
180,360,361,20,79,20640763,0,1,10231227
181,362,363,20,84,17627455,0,1,11373762
182,364,365,20,92,20982894,0,1,2468360
183,366,367,20,95,17609935,0,1,26697899
184,368,369,20,96,19288723,0,1,20142344
185,370,371,21,22,18055321,0,1,18619019
186,372,373,21,32,18029183,0,1,12148985
187,374,375,21,33,16425191,0,1,8878309
188,376,377,21,36,18591276,0,1,7925076
189,378,379,21,47,17432917,0,1,2829829
190,380,381,21,71,20631793,0,1,7025321
191,382,383,21,79,17699168,0,1,9209123
192,384,385,21,85,15722346,0,1,6896500
193,386,387,21,92,16089249,0,1,8923188
194,388,389,22,26,18432565,0,1,34606088
195,390,391,22,29,17791502,0,1,18391361
196,392,393,22,53,16107045,0,1,4842323
197,394,395,22,64,19262600,0,1,5645744
198,396,397,22,66,18156294,0,1,30888850
199,398,399,22,72,21796464,0,1,5647671
200,400,401,22,85,16896532,0,1,7244500
201,402,403,22,92,19136336,0,1,4482193
202,404,405,23,38,18787223,0,1,15072159
203,406,407,23,43,16812556,0,1,8811898
204,408,409,23,99,18493322,0,1,4666694
205,410,411,24,31,16833025,0,1,10234103
206,412,413,24,65,20343615,0,1,5907643
207,414,415,24,73,16642694,0,1,12517290
208,416,417,24,80,20981170,0,1,4895106
209,418,419,24,82,16004908,0,1,9276030
210,420,421,25,30,22158316,0,1,15729664
211,422,423,25,32,18857187,0,1,6368217
212,424,425,25,37,16966480,0,1,5849317
213,426,427,25,40,20179649,0,1,37359492
214,428,429,25,50,16342064,0,1,4726033
215,430,431,25,61,15361464,0,1,9166284
216,432,433,25,65,16389915,0,1,15352322
217,434,435,25,66,14473440,0,1,11454322
218,436,437,25,72,17368564,0,1,4571165
219,438,439,25,84,18502729,0,1,13400406
220,440,441,25,88,17958606,0,1,16211551
221,442,443,25,93,15606102,0,1,23842201
222,444,445,26,29,19450061,0,1,9755012
223,446,447,26,56,15069008,0,1,6185249
224,448,449,26,79,16334767,0,1,20354064
225,450,451,26,81,18092524,0,1,14625783
226,452,453,26,98,20178751,0,1,8483457
227,454,455,27,28,16890415,0,1,11416241
228,456,457,27,35,18785557,0,1,16121223
229,458,459,27,46,18790008,0,1,7736015
230,460,461,27,54,17399924,0,1,7687332
231,462,463,27,78,18983592,0,1,21203052
232,464,465,27,87,19172467,0,1,14986531
233,466,467,27,98,14659849,0,1,17040724
234,468,469,28,58,16899239,0,1,18841800
