id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,18275890,0,1,8822283
1,2,3,0,10,18333023,0,1,10775883
2,4,5,0,14,17721652,0,1,22284307
3,6,7,0,20,16086899,0,1,3411855
4,8,9,0,21,17406539,0,1,9420305
5,10,11,0,27,19720880,0,1,5453941
6,12,13,0,36,17517595,0,1,3568441
7,14,15,0,57,18009414,0,1,6086291
8,16,17,0,72,18820583,0,1,13906380
9,18,19,0,73,20599408,0,1,6545659
10,20,21,0,92,18476679,0,1,4342311
11,22,23,1,3,16196422,0,1,8488074
12,24,25,1,15,14651827,0,1,4107520
13,26,27,1,26,16520131,0,1,10541837
14,28,29,1,27,16777237,0,1,17193852
15,30,31,1,28,15792970,0,1,5764998
16,32,33,1,34,19331272,0,1,6031582
17,34,35,1,43,19358978,0,1,2010358
18,36,37,1,53,19652001,0,1,11246022
19,38,39,1,54,20309658,0,1,10740019
20,40,41,1,71,19674074,0,1,3392776
21,42,43,1,82,20099210,0,1,9046240
22,44,45,1,84,17452722,0,1,1746574
23,46,47,2,9,21308261,0,1,18840289
24,48,49,2,26,18460351,0,1,10688956
25,50,51,2,43,18082393,0,1,17671715
26,52,53,2,44,15907967,0,1,14192732
27,54,55,2,54,16516748,0,1,10278190
28,56,57,2,63,16878502,0,1,13108304
29,58,59,2,65,18929675,0,1,2742742
30,60,61,2,68,17657980,0,1,9133067
31,62,63,2,86,20394149,0,1,4941055
32,64,65,2,87,18319160,0,1,21640834
33,66,67,2,93,18705950,0,1,3432279
34,68,69,3,12,17926114,0,1,28952908
35,70,71,3,31,18418046,0,1,10768925
36,72,73,3,33,15569465,0,1,13550564
37,74,75,3,35,16880125,0,1,14820489
38,76,77,3,36,16190273,0,1,8038723
39,78,79,3,45,15105402,0,1,7564703
40,80,81,3,59,18750336,0,1,8716555
41,82,83,3,73,18775328,0,1,26464677
42,84,85,3,83,14482897,0,1,4010224
43,86,87,3,87,13762997,0,1,2497814
44,88,89,3,97,18987819,0,1,15829869
45,90,91,4,19,15344844,0,1,11093683
46,92,93,4,20,19886435,0,1,14562969
47,94,95,4,42,15927830,0,1,14225867
48,96,97,4,49,17342076,0,1,9468338
49,98,99,4,79,16159795,0,1,3602004
50,100,101,4,82,20099884,0,1,5344458
51,102,103,5,24,19767428,0,1,29910580
52,104,105,5,35,15837082,0,1,23370577
53,106,107,5,52,15480991,0,1,1095399
54,108,109,5,84,20062648,0,1,11728581
55,110,111,5,90,17278535,0,1,6531270
56,112,113,6,8,17143771,0,1,17063290
57,114,115,6,30,16648231,0,1,8205419
58,116,117,6,59,19193604,0,1,11053244
59,118,119,6,61,19731057,0,1,46070669
60,120,121,6,65,19965673,0,1,17342684
61,122,123,6,74,16774053,0,1,27186683
62,124,125,6,89,17330825,0,1,9320165
63,126,127,7,9,19695729,0,1,13262695
64,128,129,7,12,16804702,0,1,15244452
65,130,131,7,18,18365350,0,1,1175027
66,132,133,7,19,18965583,0,1,11231915
67,134,135,7,21,18917711,0,1,8089019
68,136,137,7,24,16912833,0,1,8088626
69,138,139,7,25,16666933,0,1,6967595
70,140,141,7,36,20590577,0,1,14707038
71,142,143,7,43,16996592,0,1,3089126
72,144,145,7,60,18901726,0,1,1944424
73,146,147,7,61,15865969,0,1,1934654
74,148,149,7,66,17722060,0,1,15896039
75,150,151,7,73,16662861,0,1,6921077
76,152,153,7,75,19533619,0,1,6511296
77,154,155,7,77,18516150,0,1,8607404
78,156,157,7,78,16534430,0,1,9591257
79,158,159,8,18,17574348,0,1,16708359
80,160,161,8,21,18461763,0,1,9670055
81,162,163,8,35,19891027,0,1,13763975
82,164,165,8,67,16979543,0,1,9811015
83,166,167,8,68,20435842,0,1,45175527
84,168,169,8,75,18966686,0,1,12161841
85,170,171,8,76,19586468,0,1,21553932
86,172,173,8,81,15442034,0,1,4902221
87,174,175,9,18,15746019,0,1,4259230
88,176,177,9,24,21352389,0,1,9873715
89,178,179,9,69,17706125,0,1,15615236
90,180,181,9,87,17715247,0,1,2279309
91,182,183,9,91,17671068,0,1,4485818
92,184,185,9,98,16741099,0,1,7069839
93,186,187,10,29,14278553,0,1,4096866
94,188,189,10,53,17764674,0,1,9507792
95,190,191,10,88,16673006,0,1,27592856
96,192,193,11,12,17641758,0,1,26456672
97,194,195,11,22,14534043,0,1,3291184
98,196,197,11,23,19729155,0,1,6395022
99,198,199,11,26,15155924,0,1,12499763
100,200,201,11,33,17664638,0,1,8630897
101,202,203,11,39,18686027,0,1,16592311
102,204,205,11,40,18348906,0,1,39681825
103,206,207,11,45,20175128,0,1,27314487
104,208,209,11,46,16386043,0,1,23922494
105,210,211,11,73,17437848,0,1,10242233
106,212,213,11,92,18991127,0,1,12712764
107,214,215,12,27,17495538,0,1,10090176
108,216,217,12,41,15437210,0,1,4735995
109,218,219,12,43,16897890,0,1,12255753
110,220,221,12,45,20701404,0,1,28109629
111,222,223,12,46,15219111,0,1,25231458
112,224,225,12,71,18096738,0,1,13513285
113,226,227,12,80,18101879,0,1,3266754
114,228,229,12,89,17232776,0,1,4703539
115,230,231,12,95,17953271,0,1,9454410
116,232,233,13,28,18013696,0,1,10984391
117,234,235,13,29,17937328,0,1,3740693
118,236,237,13,39,18909126,0,1,32599822
119,238,239,13,46,18076319,0,1,4882968
120,240,241,13,77,18357098,0,1,12705858
121,242,243,14,37,19746760,0,1,4690958
122,244,245,14,39,18639284,0,1,8306558
123,246,247,14,46,15793725,0,1,6073996
124,248,249,14,58,16379529,0,1,14640447
125,250,251,14,68,18606815,0,1,11551002
126,252,253,14,89,20587525,0,1,7521590
127,254,255,15,22,19393994,0,1,11422005
128,256,257,15,27,15674699,0,1,11835933
129,258,259,15,33,18928642,0,1,16645592
130,260,261,15,35,19202083,0,1,4003352
131,262,263,15,48,17655632,0,1,39273728
132,264,265,15,56,20578906,0,1,6704508
133,266,267,15,88,14467794,0,1,2789921
134,268,269,16,18,22225466,0,1,18910113
135,270,271,16,31,17077396,0,1,5506173
136,272,273,16,32,17179543,0,1,25655137
137,274,275,16,40,16364078,0,1,21413617
138,276,277,16,44,16134177,0,1,16451876
139,278,279,16,56,19526111,0,1,9139269
140,280,281,16,64,16370648,0,1,7281911
141,282,283,16,68,20599392,0,1,12299947
142,284,285,16,81,14031463,0,1,4331207
143,286,287,16,88,18394475,0,1,10066924
144,288,289,16,90,17773394,0,1,6267581
145,290,291,16,93,18180389,0,1,39456410
146,292,293,16,95,17373731,0,1,13250984
147,294,295,16,97,17276370,0,1,31192284
148,296,297,17,30,17956587,0,1,5328902
149,298,299,17,31,19622830,0,1,22977685
150,300,301,17,39,17776917,0,1,20917866
151,302,303,17,63,14707703,0,1,11648505
152,304,305,17,77,16320383,0,1,12553853
153,306,307,17,81,18679668,0,1,7556968
154,308,309,17,87,20334572,0,1,19718246
155,310,311,18,27,17334913,0,1,40534192
156,312,313,18,40,23031220,0,1,30917479
157,314,315,18,45,17915098,0,1,12030629
158,316,317,18,56,20200522,0,1,24581150
159,318,319,18,58,17836831,0,1,9751246
160,320,321,18,74,18360648,0,1,25057794
161,322,323,18,75,18097283,0,1,7198256
162,324,325,18,76,17937630,0,1,16653083
163,326,327,18,79,16753147,0,1,74239175
164,328,329,18,80,18286798,0,1,10720869
165,330,331,18,83,19247267,0,1,13717094
166,332,333,18,84,17069537,0,1,9395521
167,334,335,18,98,18672242,0,1,8503466
168,336,337,19,25,19001435,0,1,6997636
169,338,339,19,31,17855634,0,1,21468826
170,340,341,19,49,18235871,0,1,38975922
171,342,343,19,66,18267610,0,1,10429815
172,344,345,19,78,19057474,0,1,43818627
173,346,347,19,88,21237560,0,1,22934581
174,348,349,20,22,18236793,0,1,9054634
175,350,351,20,39,18243963,0,1,16467102
176,352,353,20,49,16027018,0,1,5905651
177,354,355,20,52,17309163,0,1,13434344
178,356,357,20,53,18684853,0,1,7602501
179,358,359,20,72,20061802,0,1,42940763
180,360,361,20,79,20640763,0,1,13506914
181,362,363,20,84,17627455,0,1,22352845
182,364,365,20,92,20982894,0,1,6425805
183,366,367,20,95,17609935,0,1,6762612
184,368,369,20,96,19288723,0,1,2798764
185,370,371,21,22,18055321,0,1,14249103
186,372,373,21,32,18029183,0,1,20655107
187,374,375,21,33,16425191,0,1,9162089
188,376,377,21,36,18591276,0,1,3309759
189,378,379,21,47,17432917,0,1,9475447
190,380,381,21,71,20631793,0,1,7151027
191,382,383,21,79,17699168,0,1,40129617
192,384,385,21,85,15722346,0,1,2918215
193,386,387,21,92,16089249,0,1,10540111
194,388,389,22,26,18432565,0,1,24852963
195,390,391,22,29,17791502,0,1,4713074
196,392,393,22,53,16107045,0,1,7806189
197,394,395,22,64,19262600,0,1,7213003
198,396,397,22,66,18156294,0,1,7423993
199,398,399,22,72,21796464,0,1,11649734
200,400,401,22,85,16896532,0,1,14252670
201,402,403,22,92,19136336,0,1,59385448
202,404,405,23,38,18787223,0,1,3651643
203,406,407,23,43,16812556,0,1,7575763
204,408,409,23,99,18493322,0,1,12033021
205,410,411,24,31,16833025,0,1,3779170
206,412,413,24,65,20343615,0,1,8689389
207,414,415,24,73,16642694,0,1,23434433
208,416,417,24,80,20981170,0,1,29641129
209,418,419,24,82,16004908,0,1,11985680
210,420,421,25,30,22158316,0,1,6283518
211,422,423,25,32,18857187,0,1,3036936
212,424,425,25,37,16966480,0,1,7564383
213,426,427,25,40,20179649,0,1,15276682
214,428,429,25,50,16342064,0,1,7868046
215,430,431,25,61,15361464,0,1,18769089
216,432,433,25,65,16389915,0,1,15035040
217,434,435,25,66,14473440,0,1,41574900
218,436,437,25,72,17368564,0,1,23354210
219,438,439,25,84,18502729,0,1,5069214
220,440,441,25,88,17958606,0,1,6898494
221,442,443,25,93,15606102,0,1,18936521
222,444,445,26,29,19450061,0,1,41703563
223,446,447,26,56,15069008,0,1,13898391
224,448,449,26,79,16334767,0,1,51179688
225,450,451,26,81,18092524,0,1,3182849
226,452,453,26,98,20178751,0,1,12914422
227,454,455,27,28,16890415,0,1,6333219
228,456,457,27,35,18785557,0,1,10849771
229,458,459,27,46,18790008,0,1,38478461
230,460,461,27,54,17399924,0,1,3000472
231,462,463,27,78,18983592,0,1,8622838
232,464,465,27,87,19172467,0,1,7198157
233,466,467,27,98,14659849,0,1,18324401
234,468,469,28,58,16899239,0,1,2441783
235,470,471,28,68,17269346,0,1,4328276
236,472,473,28,76,16401200,0,1,8470448
237,474,475,28,79,19788908,0,1,6591610
238,476,477,28,82,15172570,0,1,2809106
239,478,479,28,85,16470964,0,1,30546192
240,480,481,28,86,16096226,0,1,34661262
241,482,483,28,87,20238083,0,1,52583127
242,484,485,29,37,23060852,0,1,19695228
243,486,487,29,54,15125628,0,1,18911384
244,488,489,29,64,19342849,0,1,11087935
245,490,491,29,65,17955980,0,1,23196275
246,492,493,29,70,17820040,0,1,5705384
247,494,495,29,82,19704126,0,1,26473527
248,496,497,29,83,16262686,0,1,6624400
249,498,499,29,86,19745667,0,1,3380287
250,500,501,29,87,18381039,0,1,8763320
251,502,503,29,98,15136073,0,1,25030591
252,504,505,30,31,19836178,0,1,26093111
253,506,507,30,36,18756726,0,1,5006334
254,508,509,30,38,16290124,0,1,10337689
255,510,511,30,41,20003064,0,1,18699642
256,512,513,30,44,17788824,0,1,15176701
257,514,515,30,57,18108112,0,1,19781308
258,516,517,30,58,16622913,0,1,18258170
259,518,519,30,67,18812736,0,1,25753724
260,520,521,30,73,20558337,0,1,14138568
261,522,523,30,78,20341391,0,1,11014438
262,524,525,30,84,14966620,0,1,4330625
263,526,527,30,86,14924224,0,1,2681355
264,528,529,30,89,18164241,0,1,5596924
265,530,531,30,92,17559781,0,1,3619062
266,532,533,31,35,16873927,0,1,8865512
267,534,535,31,54,17830794,0,1,31993070
268,536,537,31,57,19114025,0,1,33104775
269,538,539,31,81,19716858,0,1,6583441
270,540,541,31,82,15820685,0,1,6606172
271,542,543,31,99,16356481,0,1,10470071
272,544,545,32,33,17453271,0,1,4154052
273,546,547,32,34,16822759,0,1,6936340
274,548,549,32,39,17967665,0,1,7041307
275,550,551,32,46,19220545,0,1,4371655
276,552,553,32,53,22219878,0,1,14883225
277,554,555,32,71,17235672,0,1,17730809
278,556,557,32,94,21698956,0,1,5239720
279,558,559,33,36,17516165,0,1,12411628
280,560,561,33,42,17824099,0,1,5595926
281,562,563,33,46,14689658,0,1,37853527
282,564,565,33,47,16189079,0,1,20310310
283,566,567,33,57,17786141,0,1,21080042
284,568,569,33,67,15622520,0,1,2372648
285,570,571,33,70,16534140,0,1,21364435
286,572,573,33,92,15993334,0,1,4190281
287,574,575,33,93,17948584,0,1,5918846
288,576,577,34,38,17903113,0,1,6136055
289,578,579,34,45,19833889,0,1,44910457
290,580,581,34,46,18504565,0,1,3343336
291,582,583,34,62,20249199,0,1,6526862
292,584,585,34,78,14511171,0,1,12139618
293,586,587,34,87,18796903,0,1,21991394
294,588,589,34,94,19802926,0,1,2429296
295,590,591,35,68,15600794,0,1,3542139
296,592,593,35,76,21668775,0,1,8865312
297,594,595,35,77,17025440,0,1,24246947
298,596,597,35,79,18467967,0,1,10422942
299,598,599,35,80,18390921,0,1,25604983
